true,corr,mmd,kol,wilc,rdc
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.375,0.0,0.0,0.0,0.356
0,0.437,0.0,0.0,0.0,0.207
0,0.228,0.0,0.0,0.0,0.497
1,0.0,0.0,0.0,0.0,0.0
0,0.16,0.0,0.0,0.0,0.058
1,0.0,0.0,0.0,0.0,0.0
0,0.209,0.0,0.0,0.0,0.312
1,0.0,0.0,0.0,0.004,0.0
0,0.238,0.0,0.0,0.0,0.071
1,0.0,0.0,0.0,0.0,0.0
0,0.166,0.0,0.0,0.0,0.249
1,0.0,0.0,0.0,0.0,0.0
0,0.108,0.0,0.0,0.0,0.434
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.366,0.0,0.028,0.0,0.044
0,0.145,0.0,0.0,0.0,0.398
0,0.168,0.0,0.0,0.0,0.287
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.381,0.0,0.0,0.0,0.196
0,0.142,0.0,0.0,0.0,0.031
0,0.088,0.0,0.0,0.0,0.099
1,0.0,0.0,0.0,0.0,0.0
0,0.048,0.0,0.0,0.0,0.271
0,0.124,0.0,0.0,0.0,0.359
0,0.406,0.0,0.0,0.0,0.474
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.237,0.0,0.0,0.168,0.192
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.481,0.0,0.0,0.0,0.493
0,0.442,0.0,0.0,0.0,0.409
1,0.0,0.0,0.0,0.0,0.0
0,0.362,0.125,0.0,0.0,0.056
1,0.0,0.0,0.0,0.0,0.0
0,0.11,0.0,0.0,0.0,0.068
0,0.021,0.006,0.0,0.0,0.254
1,0.0,0.0,0.0,0.0,0.0
0,0.001,0.0,0.0,0.0,0.01
0,0.37,0.0,0.0,0.003,0.129
1,0.0,0.0,0.0,0.0,0.0
0,0.053,0.037,0.0,0.0,0.489
0,0.066,0.0,0.0,0.0,0.479
0,0.437,0.0,0.0,0.0,0.288
0,0.252,0.0,0.0,0.0,0.285
0,0.186,0.0,0.0,0.0,0.317
