true,corr,mmd,kol,wilc,rdc
1,0.0,0.0,0.0,0.0,0.0
0,0.399,0.0,0.0,0.0,0.153
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.494,0.0,0.0,0.0,0.14
0,0.364,0.0,0.0,0.0,0.352
0,0.086,0.0,0.0,0.0,0.408
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.487,0.0
0,0.422,0.0,0.0,0.0,0.013
0,0.062,0.0,0.0,0.0,0.492
1,0.0,0.0,0.0,0.0,0.0
0,0.114,0.0,0.0,0.0,0.083
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.002,0.0,0.0,0.0,0.028
0,0.291,0.0,0.0,0.0,0.021
0,0.393,0.0,0.0,0.0,0.081
1,0.0,0.0,0.0,0.0,0.0
0,0.3,0.0,0.0,0.0,0.399
0,0.477,0.0,0.0,0.0,0.419
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.287,0.0,0.0,0.0,0.329
0,0.386,0.0,0.0,0.0,0.267
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.363,0.0,0.0,0.0,0.101
1,0.0,0.0,0.0,0.292,0.0
0,0.006,0.0,0.0,0.0,0.322
0,0.139,0.0,0.0,0.422,0.031
1,0.0,0.0,0.0,0.0,0.0
0,0.21,0.0,0.0,0.0,0.033
0,0.331,0.0,0.0,0.0,0.123
0,0.329,0.0,0.0,0.0,0.417
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.326,0.0,0.0,0.0,0.155
1,0.0,0.0,0.0,0.367,0.0
0,0.195,0.0,0.0,0.0,0.129
1,0.0,0.0,0.0,0.0,0.0
0,0.357,0.0,0.0,0.0,0.316
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.02,0.0,0.0,0.0,0.418
0,0.256,0.0,0.0,0.0,0.323
0,0.2,0.0,0.0,0.0,0.262
1,0.0,0.0,0.0,0.0,0.0
0,0.127,0.0,0.0,0.0,0.203
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.465,0.003,0.0,0.253,0.075
0,0.402,0.0,0.0,0.0,0.16
0,0.268,0.0,0.0,0.0,0.203
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.314,0.029,0.0,0.134,0.383
0,0.271,0.0,0.0,0.0,0.032
